code,predicted_pm2.5,geometry
88,6.336783, -0.150818888854941 51.49678359043847_ -0.150818888854941 51.49784642506365_ -0.1525258741811697 51.49784642506365_ -0.1525258741811697 51.49678359043847_ -0.150818888854941 51.49678359043847
89,6.3223753, -0.150818888854941 51.49784642506365_ -0.150818888854941 51.49890925968882_ -0.1525258741811697 51.49890925968882_ -0.1525258741811697 51.49784642506365_ -0.150818888854941 51.49784642506365
90,6.2821846, -0.150818888854941 51.49890925968882_ -0.150818888854941 51.499972094314_ -0.1525258741811697 51.499972094314_ -0.1525258741811697 51.49890925968882_ -0.150818888854941 51.49890925968882
91,6.345787, -0.150818888854941 51.499972094314_ -0.150818888854941 51.50103492893918_ -0.1525258741811697 51.50103492893918_ -0.1525258741811697 51.499972094314_ -0.150818888854941 51.499972094314
92,6.163121, -0.150818888854941 51.50103492893918_ -0.150818888854941 51.50209776356436_ -0.1525258741811697 51.50209776356436_ -0.1525258741811697 51.50103492893918_ -0.150818888854941 51.50103492893918
93,6.1210356, -0.150818888854941 51.50209776356436_ -0.150818888854941 51.50316059818953_ -0.1525258741811697 51.50316059818953_ -0.1525258741811697 51.50209776356436_ -0.150818888854941 51.50209776356436
94,6.1745625, -0.150818888854941 51.50316059818953_ -0.150818888854941 51.504223432814705_ -0.1525258741811697 51.504223432814705_ -0.1525258741811697 51.50316059818953_ -0.150818888854941 51.50316059818953
95,5.871747, -0.150818888854941 51.504223432814705_ -0.150818888854941 51.505286267439885_ -0.1525258741811697 51.505286267439885_ -0.1525258741811697 51.504223432814705_ -0.150818888854941 51.504223432814705
96,5.8961115, -0.150818888854941 51.505286267439885_ -0.150818888854941 51.50634910206506_ -0.1525258741811697 51.50634910206506_ -0.1525258741811697 51.505286267439885_ -0.150818888854941 51.505286267439885
97,6.520796, -0.150818888854941 51.50634910206506_ -0.150818888854941 51.50741193669024_ -0.1525258741811697 51.50741193669024_ -0.1525258741811697 51.50634910206506_ -0.150818888854941 51.50634910206506
98,6.5137734, -0.150818888854941 51.50741193669024_ -0.150818888854941 51.50847477131541_ -0.1525258741811697 51.50847477131541_ -0.1525258741811697 51.50741193669024_ -0.150818888854941 51.50741193669024
99,6.445627, -0.150818888854941 51.50847477131541_ -0.150818888854941 51.509537605940594_ -0.1525258741811697 51.509537605940594_ -0.1525258741811697 51.50847477131541_ -0.150818888854941 51.50847477131541
100,6.392674, -0.150818888854941 51.509537605940594_ -0.150818888854941 51.51060044056577_ -0.1525258741811697 51.51060044056577_ -0.1525258741811697 51.509537605940594_ -0.150818888854941 51.509537605940594
101,5.788974, -0.150818888854941 51.51060044056577_ -0.150818888854941 51.51166327519095_ -0.1525258741811697 51.51166327519095_ -0.1525258741811697 51.51060044056577_ -0.150818888854941 51.51060044056577
102,5.3203044, -0.150818888854941 51.51166327519095_ -0.150818888854941 51.51272610981612_ -0.1525258741811697 51.51272610981612_ -0.1525258741811697 51.51166327519095_ -0.150818888854941 51.51166327519095
103,6.388974, -0.150818888854941 51.51272610981612_ -0.150818888854941 51.513788944441295_ -0.1525258741811697 51.513788944441295_ -0.1525258741811697 51.51272610981612_ -0.150818888854941 51.51272610981612
104,6.256463, -0.150818888854941 51.513788944441295_ -0.150818888854941 51.514851779066476_ -0.1525258741811697 51.514851779066476_ -0.1525258741811697 51.513788944441295_ -0.150818888854941 51.513788944441295
105,6.492195, -0.150818888854941 51.514851779066476_ -0.150818888854941 51.51591461369165_ -0.1525258741811697 51.51591461369165_ -0.1525258741811697 51.514851779066476_ -0.150818888854941 51.514851779066476
106,6.6021166, -0.150818888854941 51.51591461369165_ -0.150818888854941 51.51697744831683_ -0.1525258741811697 51.51697744831683_ -0.1525258741811697 51.51591461369165_ -0.150818888854941 51.51591461369165
107,6.380388, -0.150818888854941 51.51697744831683_ -0.150818888854941 51.518040282942_ -0.1525258741811697 51.518040282942_ -0.1525258741811697 51.51697744831683_ -0.150818888854941 51.51697744831683
108,4.0723968, -0.150818888854941 51.518040282942_ -0.150818888854941 51.519103117567184_ -0.1525258741811697 51.519103117567184_ -0.1525258741811697 51.518040282942_ -0.150818888854941 51.518040282942
109,4.518855, -0.150818888854941 51.519103117567184_ -0.150818888854941 51.52016595219236_ -0.1525258741811697 51.52016595219236_ -0.1525258741811697 51.519103117567184_ -0.150818888854941 51.519103117567184
110,5.684623, -0.1525258741811697 51.46171004780764_ -0.1525258741811697 51.462772882432816_ -0.1542328595073983 51.462772882432816_ -0.1542328595073983 51.46171004780764_ -0.1525258741811697 51.46171004780764
111,5.946811, -0.1525258741811697 51.462772882432816_ -0.1525258741811697 51.463835717058_ -0.1542328595073983 51.463835717058_ -0.1542328595073983 51.462772882432816_ -0.1525258741811697 51.462772882432816
112,6.4381437, -0.1525258741811697 51.463835717058_ -0.1525258741811697 51.46489855168317_ -0.1542328595073983 51.46489855168317_ -0.1542328595073983 51.463835717058_ -0.1525258741811697 51.463835717058
113,6.916441, -0.1525258741811697 51.46489855168317_ -0.1525258741811697 51.46596138630835_ -0.1542328595073983 51.46596138630835_ -0.1542328595073983 51.46489855168317_ -0.1525258741811697 51.46489855168317
