source,target,length
20961349_,33203791_,65.362
20961350_,8781213321_,6.96
20961350_,1605031206_,6.841
20961350_,9246500465_,25.104000000000003
20962505_,1149064290_,59.533
20962505_,25322217_,11.654
20962505_,25322183_,27.523
20962506_,25321975_,53.103
20962506_,8568191220_,80.11699999999999
20962506_,25322172_,10.021
20962508_,25322366_,25.896
20962508_,8568191220_,17.762999999999998
20962508_,25321919_,36.863
20962509_,25321886_,109.039
20962509_,25321888_,41.381
20962509_,25321891_,16.248
20962510_,25321969_,219.36599999999999
20962510_,25321881_,53.019000000000005
20962510_,20962511_,19.126
20962511_,25321731_,7.949
20962511_,25321716_,70.239
20962512_,25321716_,16.772
20962512_,1149141550_,56.861000000000004
20962519_,32584485_,91.799
20962519_,59143603_,20.958
20962519_,57659271_,40.735
20963414_,80159855_,26.677
20963414_,7597690230_,2.914
20963419_,86107987_,8.863
20963419_,386254358_,30.362
20963419_,86108112_,20.799
20963421_,386254358_,31.933
20963421_,20963425_,152.839
20963421_,27481202_,79.668
20963421_,26389603_,66.019
20963425_,27481203_,85.453
20963425_,26389627_,47.42
20963425_,26389545_,105.553
20963431_,267342173_,36.358
20963431_,267342169_,31.478
20963431_,26389003_,142.95499999999998
20963431_,26389004_,94.525
20963434_,300413476_,34.955
20963434_,4147738097_,37.832
20963434_,20963435_,98.86099999999999
20963434_,27089794_,89.496
20963435_,26389361_,39.6
20963435_,25291780_,44.266999999999996
20963439_,6561682354_,11.208
20963439_,3925964636_,10.627
20963439_,3925964625_,3.668
20963439_,2290501003_,12.691
21103124_,892950207_,50.221
21103124_,8107461988_,17.948
21103124_,8107461967_,60.17
21105283_,1960954870_,10.137
21105283_,277313428_,8.946
21105283_,96087926_,35.414
21105391_,7695684949_,12.393
21105391_,7728150518_,9.713
21105391_,27512727_,85.628
21105391_,1271778546_,79.147
21105395_,1268682086_,21.718
21105395_,1268682091_,21.118
21105396_,27089847_,39.069
21105396_,27125491_,31.262
21105396_,26389054_,61.227999999999994
21494024_,21494025_,36.742
