code,predicted_pm2.5,geometry
40,6.124762, -0.1491119035287124 51.504223432814705_ -0.1491119035287124 51.505286267439885_ -0.150818888854941 51.505286267439885_ -0.150818888854941 51.504223432814705_ -0.1491119035287124 51.504223432814705
41,5.767234, -0.1491119035287124 51.505286267439885_ -0.1491119035287124 51.50634910206506_ -0.150818888854941 51.50634910206506_ -0.150818888854941 51.505286267439885_ -0.1491119035287124 51.505286267439885
42,7.0538983, -0.1491119035287124 51.50634910206506_ -0.1491119035287124 51.50741193669024_ -0.150818888854941 51.50741193669024_ -0.150818888854941 51.50634910206506_ -0.1491119035287124 51.50634910206506
43,5.2216964, -0.1491119035287124 51.50741193669024_ -0.1491119035287124 51.50847477131541_ -0.150818888854941 51.50847477131541_ -0.150818888854941 51.50741193669024_ -0.1491119035287124 51.50741193669024
44,6.2049246, -0.1491119035287124 51.50847477131541_ -0.1491119035287124 51.509537605940594_ -0.150818888854941 51.509537605940594_ -0.150818888854941 51.50847477131541_ -0.1491119035287124 51.50847477131541
45,7.007753, -0.1491119035287124 51.509537605940594_ -0.1491119035287124 51.51060044056577_ -0.150818888854941 51.51060044056577_ -0.150818888854941 51.509537605940594_ -0.1491119035287124 51.509537605940594
46,6.2944317, -0.1491119035287124 51.51060044056577_ -0.1491119035287124 51.51166327519095_ -0.150818888854941 51.51166327519095_ -0.150818888854941 51.51060044056577_ -0.1491119035287124 51.51060044056577
47,6.2219043, -0.1491119035287124 51.51166327519095_ -0.1491119035287124 51.51272610981612_ -0.150818888854941 51.51272610981612_ -0.150818888854941 51.51166327519095_ -0.1491119035287124 51.51166327519095
48,6.0117683, -0.1491119035287124 51.51272610981612_ -0.1491119035287124 51.513788944441295_ -0.150818888854941 51.513788944441295_ -0.150818888854941 51.51272610981612_ -0.1491119035287124 51.51272610981612
49,5.698268, -0.1491119035287124 51.513788944441295_ -0.1491119035287124 51.514851779066476_ -0.150818888854941 51.514851779066476_ -0.150818888854941 51.513788944441295_ -0.1491119035287124 51.513788944441295
50,5.1404624, -0.1491119035287124 51.514851779066476_ -0.1491119035287124 51.51591461369165_ -0.150818888854941 51.51591461369165_ -0.150818888854941 51.514851779066476_ -0.1491119035287124 51.514851779066476
51,5.77345, -0.1491119035287124 51.51591461369165_ -0.1491119035287124 51.51697744831683_ -0.150818888854941 51.51697744831683_ -0.150818888854941 51.51591461369165_ -0.1491119035287124 51.51591461369165
52,6.1102266, -0.1491119035287124 51.51697744831683_ -0.1491119035287124 51.518040282942_ -0.150818888854941 51.518040282942_ -0.150818888854941 51.51697744831683_ -0.1491119035287124 51.51697744831683
53,6.1804686, -0.1491119035287124 51.518040282942_ -0.1491119035287124 51.519103117567184_ -0.150818888854941 51.519103117567184_ -0.150818888854941 51.518040282942_ -0.1491119035287124 51.518040282942
54,6.2907367, -0.1491119035287124 51.519103117567184_ -0.1491119035287124 51.52016595219236_ -0.150818888854941 51.52016595219236_ -0.150818888854941 51.519103117567184_ -0.1491119035287124 51.519103117567184
55,7.167658, -0.150818888854941 51.46171004780764_ -0.150818888854941 51.462772882432816_ -0.1525258741811697 51.462772882432816_ -0.1525258741811697 51.46171004780764_ -0.150818888854941 51.46171004780764
56,5.0653443, -0.150818888854941 51.462772882432816_ -0.150818888854941 51.463835717058_ -0.1525258741811697 51.463835717058_ -0.1525258741811697 51.462772882432816_ -0.150818888854941 51.462772882432816
57,6.118904, -0.150818888854941 51.463835717058_ -0.150818888854941 51.46489855168317_ -0.1525258741811697 51.46489855168317_ -0.1525258741811697 51.463835717058_ -0.150818888854941 51.463835717058
58,6.023449, -0.150818888854941 51.46489855168317_ -0.150818888854941 51.46596138630835_ -0.1525258741811697 51.46596138630835_ -0.1525258741811697 51.46489855168317_ -0.150818888854941 51.46489855168317
59,6.1092677, -0.150818888854941 51.46596138630835_ -0.150818888854941 51.467024220933524_ -0.1525258741811697 51.467024220933524_ -0.1525258741811697 51.46596138630835_ -0.150818888854941 51.46596138630835
60,5.8230567, -0.150818888854941 51.467024220933524_ -0.150818888854941 51.468087055558705_ -0.1525258741811697 51.468087055558705_ -0.1525258741811697 51.467024220933524_ -0.150818888854941 51.467024220933524
61,5.764226, -0.150818888854941 51.468087055558705_ -0.150818888854941 51.46914989018388_ -0.1525258741811697 51.46914989018388_ -0.1525258741811697 51.468087055558705_ -0.150818888854941 51.468087055558705
62,6.1298723, -0.150818888854941 51.46914989018388_ -0.150818888854941 51.47021272480905_ -0.1525258741811697 51.47021272480905_ -0.1525258741811697 51.46914989018388_ -0.150818888854941 51.46914989018388
63,5.668569, -0.150818888854941 51.47021272480905_ -0.150818888854941 51.47127555943423_ -0.1525258741811697 51.47127555943423_ -0.1525258741811697 51.47021272480905_ -0.150818888854941 51.47021272480905
