code,predicted_pm2.5,geometry
67,3.8805614, -0.1273904944864519 51.508721689672505_ -0.1273904944864519 51.51029550248287_ -0.1299185210924281 51.51029550248287_ -0.1299185210924281 51.508721689672505_ -0.1273904944864519 51.508721689672505
68,3.8841355, -0.1273904944864519 51.51029550248287_ -0.1273904944864519 51.511869315293225_ -0.1299185210924281 51.511869315293225_ -0.1299185210924281 51.51029550248287_ -0.1273904944864519 51.51029550248287
69,3.8564248, -0.1273904944864519 51.511869315293225_ -0.1273904944864519 51.51344312810358_ -0.1299185210924281 51.51344312810358_ -0.1299185210924281 51.511869315293225_ -0.1273904944864519 51.511869315293225
70,3.8851037, -0.1273904944864519 51.51344312810358_ -0.1273904944864519 51.51501694091394_ -0.1299185210924281 51.51501694091394_ -0.1299185210924281 51.51344312810358_ -0.1273904944864519 51.51344312810358
71,3.9076097, -0.1273904944864519 51.51501694091394_ -0.1273904944864519 51.516590753724294_ -0.1299185210924281 51.516590753724294_ -0.1299185210924281 51.51501694091394_ -0.1273904944864519 51.51501694091394
72,3.9198396, -0.1273904944864519 51.516590753724294_ -0.1273904944864519 51.51816456653466_ -0.1299185210924281 51.51816456653466_ -0.1299185210924281 51.516590753724294_ -0.1273904944864519 51.516590753724294
73,3.930835, -0.1273904944864519 51.51816456653466_ -0.1273904944864519 51.519738379345014_ -0.1299185210924281 51.519738379345014_ -0.1299185210924281 51.51816456653466_ -0.1273904944864519 51.51816456653466
74,3.9204383, -0.1273904944864519 51.519738379345014_ -0.1273904944864519 51.52131219215537_ -0.1299185210924281 51.52131219215537_ -0.1299185210924281 51.519738379345014_ -0.1273904944864519 51.519738379345014
75,3.9259715, -0.1273904944864519 51.52131219215537_ -0.1273904944864519 51.52288600496573_ -0.1299185210924281 51.52288600496573_ -0.1299185210924281 51.52131219215537_ -0.1273904944864519 51.52131219215537
76,3.9304693, -0.1273904944864519 51.52288600496573_ -0.1273904944864519 51.52445981777608_ -0.1299185210924281 51.52445981777608_ -0.1299185210924281 51.52288600496573_ -0.1273904944864519 51.52288600496573
77,3.882211, -0.1273904944864519 51.52445981777608_ -0.1273904944864519 51.52603363058645_ -0.1299185210924281 51.52603363058645_ -0.1299185210924281 51.52445981777608_ -0.1273904944864519 51.52445981777608
78,3.8499687, -0.1273904944864519 51.52603363058645_ -0.1273904944864519 51.5276074433968_ -0.1299185210924281 51.5276074433968_ -0.1299185210924281 51.52603363058645_ -0.1273904944864519 51.52603363058645
79,3.8332899, -0.1273904944864519 51.5276074433968_ -0.1273904944864519 51.52918125620716_ -0.1299185210924281 51.52918125620716_ -0.1299185210924281 51.5276074433968_ -0.1273904944864519 51.5276074433968
80,4.821711, -0.1299185210924281 51.46622874379285_ -0.1299185210924281 51.4678025566032_ -0.1324465476984043 51.4678025566032_ -0.1324465476984043 51.46622874379285_ -0.1299185210924281 51.46622874379285
81,4.768986, -0.1299185210924281 51.4678025566032_ -0.1299185210924281 51.46937636941356_ -0.1324465476984043 51.46937636941356_ -0.1324465476984043 51.4678025566032_ -0.1299185210924281 51.4678025566032
82,4.873097, -0.1299185210924281 51.46937636941356_ -0.1299185210924281 51.47095018222392_ -0.1324465476984043 51.47095018222392_ -0.1324465476984043 51.46937636941356_ -0.1299185210924281 51.46937636941356
83,4.8712735, -0.1299185210924281 51.47095018222392_ -0.1299185210924281 51.47252399503428_ -0.1324465476984043 51.47252399503428_ -0.1324465476984043 51.47095018222392_ -0.1299185210924281 51.47095018222392
84,4.9738617, -0.1299185210924281 51.47252399503428_ -0.1299185210924281 51.474097807844636_ -0.1324465476984043 51.474097807844636_ -0.1324465476984043 51.47252399503428_ -0.1299185210924281 51.47252399503428
85,4.9315467, -0.1299185210924281 51.474097807844636_ -0.1299185210924281 51.47567162065499_ -0.1324465476984043 51.47567162065499_ -0.1324465476984043 51.474097807844636_ -0.1299185210924281 51.474097807844636
86,4.8535457, -0.1299185210924281 51.47567162065499_ -0.1299185210924281 51.47724543346535_ -0.1324465476984043 51.47724543346535_ -0.1324465476984043 51.47567162065499_ -0.1299185210924281 51.47567162065499
87,4.828745, -0.1299185210924281 51.47724543346535_ -0.1299185210924281 51.47881924627571_ -0.1324465476984043 51.47881924627571_ -0.1324465476984043 51.47724543346535_ -0.1299185210924281 51.47724543346535
88,5.0111637, -0.1299185210924281 51.47881924627571_ -0.1299185210924281 51.48039305908607_ -0.1324465476984043 51.48039305908607_ -0.1324465476984043 51.47881924627571_ -0.1299185210924281 51.47881924627571
89,4.9964175, -0.1299185210924281 51.48039305908607_ -0.1299185210924281 51.481966871896425_ -0.1324465476984043 51.481966871896425_ -0.1324465476984043 51.48039305908607_ -0.1299185210924281 51.48039305908607
90,5.04232, -0.1299185210924281 51.481966871896425_ -0.1299185210924281 51.48354068470678_ -0.1324465476984043 51.48354068470678_ -0.1324465476984043 51.481966871896425_ -0.1299185210924281 51.481966871896425
91,4.967329, -0.1299185210924281 51.48354068470678_ -0.1299185210924281 51.48511449751714_ -0.1324465476984043 51.48511449751714_ -0.1324465476984043 51.48354068470678_ -0.1299185210924281 51.48354068470678
92,4.9216523, -0.1299185210924281 51.48511449751714_ -0.1299185210924281 51.4866883103275_ -0.1324465476984043 51.4866883103275_ -0.1324465476984043 51.48511449751714_ -0.1299185210924281 51.48511449751714
93,3.813068, -0.1299185210924281 51.4866883103275_ -0.1299185210924281 51.48826212313786_ -0.1324465476984043 51.48826212313786_ -0.1324465476984043 51.4866883103275_ -0.1299185210924281 51.4866883103275
94,3.8051336, -0.1299185210924281 51.48826212313786_ -0.1299185210924281 51.489835935948214_ -0.1324465476984043 51.489835935948214_ -0.1324465476984043 51.48826212313786_ -0.1299185210924281 51.48826212313786
95,3.7887895, -0.1299185210924281 51.489835935948214_ -0.1299185210924281 51.49140974875857_ -0.1324465476984043 51.49140974875857_ -0.1324465476984043 51.489835935948214_ -0.1299185210924281 51.489835935948214
96,3.768014, -0.1299185210924281 51.49140974875857_ -0.1299185210924281 51.49298356156893_ -0.1324465476984043 51.49298356156893_ -0.1324465476984043 51.49140974875857_ -0.1299185210924281 51.49140974875857
97,3.7831314, -0.1299185210924281 51.49298356156893_ -0.1299185210924281 51.49455737437929_ -0.1324465476984043 51.49455737437929_ -0.1324465476984043 51.49298356156893_ -0.1299185210924281 51.49298356156893
98,3.8006768, -0.1299185210924281 51.49455737437929_ -0.1299185210924281 51.49613118718965_ -0.1324465476984043 51.49613118718965_ -0.1324465476984043 51.49455737437929_ -0.1299185210924281 51.49455737437929
99,3.790853, -0.1299185210924281 51.49613118718965_ -0.1299185210924281 51.497705_ -0.1324465476984043 51.497705_ -0.1324465476984043 51.49613118718965_ -0.1299185210924281 51.49613118718965
100,3.8735695, -0.1299185210924281 51.497705_ -0.1299185210924281 51.49927881281036_ -0.1324465476984043 51.49927881281036_ -0.1324465476984043 51.497705_ -0.1299185210924281 51.497705
101,3.8680623, -0.1299185210924281 51.49927881281036_ -0.1299185210924281 51.500852625620716_ -0.1324465476984043 51.500852625620716_ -0.1324465476984043 51.49927881281036_ -0.1299185210924281 51.49927881281036
102,3.944733, -0.1299185210924281 51.500852625620716_ -0.1299185210924281 51.50242643843108_ -0.1324465476984043 51.50242643843108_ -0.1324465476984043 51.500852625620716_ -0.1299185210924281 51.500852625620716
103,3.99247, -0.1299185210924281 51.50242643843108_ -0.1299185210924281 51.504000251241436_ -0.1324465476984043 51.504000251241436_ -0.1324465476984043 51.50242643843108_ -0.1299185210924281 51.50242643843108
104,3.8682826, -0.1299185210924281 51.504000251241436_ -0.1299185210924281 51.50557406405179_ -0.1324465476984043 51.50557406405179_ -0.1324465476984043 51.504000251241436_ -0.1299185210924281 51.504000251241436
105,3.927347, -0.1299185210924281 51.50557406405179_ -0.1299185210924281 51.50714787686215_ -0.1324465476984043 51.50714787686215_ -0.1324465476984043 51.50557406405179_ -0.1299185210924281 51.50557406405179
106,3.9204862, -0.1299185210924281 51.50714787686215_ -0.1299185210924281 51.508721689672505_ -0.1324465476984043 51.508721689672505_ -0.1324465476984043 51.50714787686215_ -0.1299185210924281 51.50714787686215
107,3.9038286, -0.1299185210924281 51.508721689672505_ -0.1299185210924281 51.51029550248287_ -0.1324465476984043 51.51029550248287_ -0.1324465476984043 51.508721689672505_ -0.1299185210924281 51.508721689672505
