code,predicted_pm2.5,geometry
63,5, -0.1551987871521903 51.48511449751714_ -0.1551987871521903 51.48691314072898_ -0.1580879604161631 51.48691314072898_ -0.1580879604161631 51.48511449751714_ -0.1551987871521903 51.48511449751714
64,5, -0.1551987871521903 51.48691314072898_ -0.1551987871521903 51.488711783940815_ -0.1580879604161631 51.488711783940815_ -0.1580879604161631 51.48691314072898_ -0.1551987871521903 51.48691314072898
65,5, -0.1551987871521903 51.488711783940815_ -0.1551987871521903 51.49051042715265_ -0.1580879604161631 51.49051042715265_ -0.1580879604161631 51.488711783940815_ -0.1551987871521903 51.488711783940815
66,5, -0.1551987871521903 51.49051042715265_ -0.1551987871521903 51.49230907036449_ -0.1580879604161631 51.49230907036449_ -0.1580879604161631 51.49051042715265_ -0.1551987871521903 51.49051042715265
67,5, -0.1551987871521903 51.49230907036449_ -0.1551987871521903 51.49410771357633_ -0.1580879604161631 51.49410771357633_ -0.1580879604161631 51.49230907036449_ -0.1551987871521903 51.49230907036449
68,5, -0.1551987871521903 51.49410771357633_ -0.1551987871521903 51.49590635678817_ -0.1580879604161631 51.49590635678817_ -0.1580879604161631 51.49410771357633_ -0.1551987871521903 51.49410771357633
69,5, -0.1551987871521903 51.49590635678817_ -0.1551987871521903 51.497705_ -0.1580879604161631 51.497705_ -0.1580879604161631 51.49590635678817_ -0.1551987871521903 51.49590635678817
70,5, -0.1551987871521903 51.497705_ -0.1551987871521903 51.49950364321184_ -0.1580879604161631 51.49950364321184_ -0.1580879604161631 51.497705_ -0.1551987871521903 51.497705
71,5, -0.1551987871521903 51.49950364321184_ -0.1551987871521903 51.50130228642368_ -0.1580879604161631 51.50130228642368_ -0.1580879604161631 51.49950364321184_ -0.1551987871521903 51.49950364321184
72,5, -0.1551987871521903 51.50130228642368_ -0.1551987871521903 51.503100929635515_ -0.1580879604161631 51.503100929635515_ -0.1580879604161631 51.50130228642368_ -0.1551987871521903 51.50130228642368
73,5, -0.1551987871521903 51.503100929635515_ -0.1551987871521903 51.50489957284736_ -0.1580879604161631 51.50489957284736_ -0.1580879604161631 51.503100929635515_ -0.1551987871521903 51.503100929635515
74,5, -0.1551987871521903 51.50489957284736_ -0.1551987871521903 51.50669821605919_ -0.1580879604161631 51.50669821605919_ -0.1580879604161631 51.50489957284736_ -0.1551987871521903 51.50489957284736
