code,predicted_pm2.5,geometry
96,5.165932, -0.1299185210924281 51.49140974875857_ -0.1299185210924281 51.49298356156893_ -0.1324465476984043 51.49298356156893_ -0.1324465476984043 51.49140974875857_ -0.1299185210924281 51.49140974875857
97,5.2061543, -0.1299185210924281 51.49298356156893_ -0.1299185210924281 51.49455737437929_ -0.1324465476984043 51.49455737437929_ -0.1324465476984043 51.49298356156893_ -0.1299185210924281 51.49298356156893
98,5.2362895, -0.1299185210924281 51.49455737437929_ -0.1299185210924281 51.49613118718965_ -0.1324465476984043 51.49613118718965_ -0.1324465476984043 51.49455737437929_ -0.1299185210924281 51.49455737437929
99,5.2257075, -0.1299185210924281 51.49613118718965_ -0.1299185210924281 51.497705_ -0.1324465476984043 51.497705_ -0.1324465476984043 51.49613118718965_ -0.1299185210924281 51.49613118718965
100,5.3828864, -0.1299185210924281 51.497705_ -0.1299185210924281 51.49927881281036_ -0.1324465476984043 51.49927881281036_ -0.1324465476984043 51.497705_ -0.1299185210924281 51.497705
101,5.3767686, -0.1299185210924281 51.49927881281036_ -0.1299185210924281 51.500852625620716_ -0.1324465476984043 51.500852625620716_ -0.1324465476984043 51.49927881281036_ -0.1299185210924281 51.49927881281036
102,5.3156257, -0.1299185210924281 51.500852625620716_ -0.1299185210924281 51.50242643843108_ -0.1324465476984043 51.50242643843108_ -0.1324465476984043 51.500852625620716_ -0.1299185210924281 51.500852625620716
103,5.3376784, -0.1299185210924281 51.50242643843108_ -0.1299185210924281 51.504000251241436_ -0.1324465476984043 51.504000251241436_ -0.1324465476984043 51.50242643843108_ -0.1299185210924281 51.50242643843108
104,5.379497, -0.1299185210924281 51.504000251241436_ -0.1299185210924281 51.50557406405179_ -0.1324465476984043 51.50557406405179_ -0.1324465476984043 51.504000251241436_ -0.1299185210924281 51.504000251241436
105,5.4424367, -0.1299185210924281 51.50557406405179_ -0.1299185210924281 51.50714787686215_ -0.1324465476984043 51.50714787686215_ -0.1324465476984043 51.50557406405179_ -0.1299185210924281 51.50557406405179
106,5.4638886, -0.1299185210924281 51.50714787686215_ -0.1299185210924281 51.508721689672505_ -0.1324465476984043 51.508721689672505_ -0.1324465476984043 51.50714787686215_ -0.1299185210924281 51.50714787686215
107,5.420175, -0.1299185210924281 51.508721689672505_ -0.1299185210924281 51.51029550248287_ -0.1324465476984043 51.51029550248287_ -0.1324465476984043 51.508721689672505_ -0.1299185210924281 51.508721689672505
108,5.412209, -0.1299185210924281 51.51029550248287_ -0.1299185210924281 51.511869315293225_ -0.1324465476984043 51.511869315293225_ -0.1324465476984043 51.51029550248287_ -0.1299185210924281 51.51029550248287
109,5.290425, -0.1299185210924281 51.511869315293225_ -0.1299185210924281 51.51344312810358_ -0.1324465476984043 51.51344312810358_ -0.1324465476984043 51.511869315293225_ -0.1299185210924281 51.511869315293225
110,5.286735, -0.1299185210924281 51.51344312810358_ -0.1299185210924281 51.51501694091394_ -0.1324465476984043 51.51501694091394_ -0.1324465476984043 51.51344312810358_ -0.1299185210924281 51.51344312810358
111,5.3280997, -0.1299185210924281 51.51501694091394_ -0.1299185210924281 51.516590753724294_ -0.1324465476984043 51.516590753724294_ -0.1324465476984043 51.51501694091394_ -0.1299185210924281 51.51501694091394
112,5.36902, -0.1299185210924281 51.516590753724294_ -0.1299185210924281 51.51816456653466_ -0.1324465476984043 51.51816456653466_ -0.1324465476984043 51.516590753724294_ -0.1299185210924281 51.516590753724294
113,5.4336324, -0.1299185210924281 51.51816456653466_ -0.1299185210924281 51.519738379345014_ -0.1324465476984043 51.519738379345014_ -0.1324465476984043 51.51816456653466_ -0.1299185210924281 51.51816456653466
114,5.4792104, -0.1299185210924281 51.519738379345014_ -0.1299185210924281 51.52131219215537_ -0.1324465476984043 51.52131219215537_ -0.1324465476984043 51.519738379345014_ -0.1299185210924281 51.519738379345014
