code,predicted_pm2.5,geometry
105,4.9558005, -0.1506766400777553 51.50555197609618_ -0.1506766400777553 51.506526241169254_ -0.1522413766267982 51.506526241169254_ -0.1522413766267982 51.50555197609618_ -0.1506766400777553 51.50555197609618
106,5.1500225, -0.1506766400777553 51.506526241169254_ -0.1506766400777553 51.50750050624234_ -0.1522413766267982 51.50750050624234_ -0.1522413766267982 51.506526241169254_ -0.1506766400777553 51.506526241169254
107,5.114839, -0.1506766400777553 51.50750050624234_ -0.1506766400777553 51.50847477131541_ -0.1522413766267982 51.50847477131541_ -0.1522413766267982 51.50750050624234_ -0.1506766400777553 51.50750050624234
108,4.0892124, -0.1506766400777553 51.50847477131541_ -0.1506766400777553 51.509449036388496_ -0.1522413766267982 51.509449036388496_ -0.1522413766267982 51.50847477131541_ -0.1506766400777553 51.50847477131541
109,5.0782766, -0.1506766400777553 51.509449036388496_ -0.1506766400777553 51.51042330146157_ -0.1522413766267982 51.51042330146157_ -0.1522413766267982 51.509449036388496_ -0.1506766400777553 51.509449036388496
110,4.082027, -0.1506766400777553 51.51042330146157_ -0.1506766400777553 51.51139756653465_ -0.1522413766267982 51.51139756653465_ -0.1522413766267982 51.51042330146157_ -0.1506766400777553 51.51042330146157
111,4.9511385, -0.1506766400777553 51.51139756653465_ -0.1506766400777553 51.51237183160773_ -0.1522413766267982 51.51237183160773_ -0.1522413766267982 51.51139756653465_ -0.1506766400777553 51.51139756653465
112,5.1006627, -0.1506766400777553 51.51237183160773_ -0.1506766400777553 51.513346096680806_ -0.1522413766267982 51.513346096680806_ -0.1522413766267982 51.51237183160773_ -0.1506766400777553 51.51237183160773
113,5.203194, -0.1506766400777553 51.513346096680806_ -0.1506766400777553 51.51432036175389_ -0.1522413766267982 51.51432036175389_ -0.1522413766267982 51.513346096680806_ -0.1506766400777553 51.513346096680806
114,5.219021, -0.1506766400777553 51.51432036175389_ -0.1506766400777553 51.515294626826964_ -0.1522413766267982 51.515294626826964_ -0.1522413766267982 51.51432036175389_ -0.1506766400777553 51.51432036175389
115,5.1253824, -0.1506766400777553 51.515294626826964_ -0.1506766400777553 51.51626889190004_ -0.1522413766267982 51.51626889190004_ -0.1522413766267982 51.515294626826964_ -0.1506766400777553 51.515294626826964
116,5.314969, -0.1506766400777553 51.51626889190004_ -0.1506766400777553 51.51724315697312_ -0.1522413766267982 51.51724315697312_ -0.1522413766267982 51.51626889190004_ -0.1506766400777553 51.51626889190004
117,4.0054884, -0.1506766400777553 51.51724315697312_ -0.1506766400777553 51.5182174220462_ -0.1522413766267982 51.5182174220462_ -0.1522413766267982 51.51724315697312_ -0.1506766400777553 51.51724315697312
118,4.230262, -0.1506766400777553 51.5182174220462_ -0.1506766400777553 51.51919168711928_ -0.1522413766267982 51.51919168711928_ -0.1522413766267982 51.5182174220462_ -0.1506766400777553 51.5182174220462
119,4.0054884, -0.1506766400777553 51.51919168711928_ -0.1506766400777553 51.52016595219236_ -0.1522413766267982 51.52016595219236_ -0.1522413766267982 51.51919168711928_ -0.1506766400777553 51.51919168711928
120,4.839308, -0.1522413766267982 51.46171004780764_ -0.1522413766267982 51.46268431288072_ -0.1538061131758412 51.46268431288072_ -0.1538061131758412 51.46171004780764_ -0.1522413766267982 51.46171004780764
121,5.114246, -0.1522413766267982 51.46268431288072_ -0.1522413766267982 51.4636585779538_ -0.1538061131758412 51.4636585779538_ -0.1538061131758412 51.46268431288072_ -0.1522413766267982 51.46268431288072
122,5.3401365, -0.1522413766267982 51.4636585779538_ -0.1522413766267982 51.46463284302688_ -0.1538061131758412 51.46463284302688_ -0.1538061131758412 51.4636585779538_ -0.1522413766267982 51.4636585779538
123,6.2679925, -0.1522413766267982 51.46463284302688_ -0.1522413766267982 51.46560710809996_ -0.1538061131758412 51.46560710809996_ -0.1538061131758412 51.46463284302688_ -0.1522413766267982 51.46463284302688
124,6.483827, -0.1522413766267982 51.46560710809996_ -0.1522413766267982 51.466581373173035_ -0.1538061131758412 51.466581373173035_ -0.1538061131758412 51.46560710809996_ -0.1522413766267982 51.46560710809996
125,5.553587, -0.1522413766267982 51.466581373173035_ -0.1522413766267982 51.46755563824611_ -0.1538061131758412 51.46755563824611_ -0.1538061131758412 51.466581373173035_ -0.1522413766267982 51.466581373173035
126,5.8799334, -0.1522413766267982 51.46755563824611_ -0.1522413766267982 51.468529903319194_ -0.1538061131758412 51.468529903319194_ -0.1538061131758412 51.46755563824611_ -0.1522413766267982 51.46755563824611
127,5.5294304, -0.1522413766267982 51.468529903319194_ -0.1522413766267982 51.46950416839227_ -0.1538061131758412 51.46950416839227_ -0.1538061131758412 51.468529903319194_ -0.1522413766267982 51.468529903319194
128,5.436096, -0.1522413766267982 51.46950416839227_ -0.1522413766267982 51.47047843346535_ -0.1538061131758412 51.47047843346535_ -0.1538061131758412 51.46950416839227_ -0.1522413766267982 51.46950416839227
129,5.3548517, -0.1522413766267982 51.47047843346535_ -0.1522413766267982 51.47145269853843_ -0.1538061131758412 51.47145269853843_ -0.1538061131758412 51.47047843346535_ -0.1522413766267982 51.47047843346535
130,5.280234, -0.1522413766267982 51.47145269853843_ -0.1522413766267982 51.472426963611504_ -0.1538061131758412 51.472426963611504_ -0.1538061131758412 51.47145269853843_ -0.1522413766267982 51.47145269853843
131,5.0118313, -0.1522413766267982 51.472426963611504_ -0.1522413766267982 51.47340122868459_ -0.1538061131758412 51.47340122868459_ -0.1538061131758412 51.472426963611504_ -0.1522413766267982 51.472426963611504
